,height,weight,age,LWF,SS,CF,RWF,LMF,DMF,CMF,AMF,RMF,LB,CB,RB,offensive_awareness,ball_control,dribbling,tight_possession,low_pass,lofted_pass,finishing,heading,place_kicking,curl,speed,acceleration,kicking_power,jump,physical_contact,balance,stamina,defensive_awareness,ball_winning,aggression,gk_awareness,gk_catching,gk_clearing,gk_reflexes,gk_reach,weak_foot_usage,weak_foot_accuracy,form,injury_resistance,overall_rating,rating_as_GK,rating_as_CB,rating_as_LB,rating_as_RB,rating_as_DMF,rating_as_CMF,rating_as_LMF,rating_as_RMF,rating_as_AMF,rating_as_LWF,rating_as_RWF,rating_as_SS,rating_as_CF,skill_cross_over_turn,skill_early_cross,skill_first_time_shot,skill_incisive_run,skill_one_touch_pass,skill_chip_shot_control,skill_heel_trick,skill_man_marking,skill_interception,skill_gk_penalty_saver,skill_penalty_specialist,skill_step_on_skill_control,skill_rising_shots,skill_marseille_turn,skill_gk_high_punt,skill_heading,skill_dipping_shot,skill_outside_curler,skill_captaincy,skill_gamesmanship,skill_gk_low_punt,skill_low_lofted_pass,skill_through_passing,skill_fighting_spirit,skill_flip_flap,skill_weighted_pass,skill_pinpoint_crossing,skill_sombrero,skill_acrobatic_clear,skill_cut_behind_turn,skill_long_range_drive,skill_scotch_move,skill_acrobatic_finishing,skill_double_touch,skill_gk_long_throw,skill_long_throw,skill_scissors_feint,skill_long_range_shooting,skill_track_back,skill_rabona,skill_knuckle_shot,skill_no_look_pass,skill_super_sub,com_playing_style_trickster,com_playing_style_mazing_run,com_playing_style_speeding_bullet,com_playing_style_incisive_run,com_playing_style_early_cross,com_playing_style_long_ball_expert,com_playing_style_long_ranger,rating_stars
10,175,69,28,2.0,0.0,1.0,2.0,2,0,0,0,2,0,0,0,87,89,89,90,75,72,85,77,67,73,94,95,81,80,70,84,85,50,55,82,40,40,40,40,40,2,3,7,2,90,40,59,76,76,75,76,86,86,80,90,86,82,85,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,5
11,191,91,28,,,,,0,0,0,0,0,0,0,0,40,68,65,67,69,72,43,70,65,53,65,68,84,86,87,68,65,51,50,50,97,90,94,98,94,2,2,6,1,90,90,54,56,56,57,55,52,52,50,49,49,50,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
12,193,92,34,,,,,0,0,0,0,0,0,0,0,40,66,59,56,66,78,40,70,65,57,60,53,87,85,87,69,66,62,52,66,94,91,93,97,96,2,3,7,3,89,89,58,56,56,57,53,47,47,46,45,45,45,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
13,182,86,33,2.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,90,84,83,84,80,76,88,78,82,84,70,76,85,72,86,88,84,52,58,90,40,40,40,40,40,3,3,6,1,89,40,60,70,70,76,73,71,71,78,79,79,81,89,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
14,185,84,28,0.0,0.0,0.0,0.0,0,2,2,0,0,0,1,0,69,81,72,76,84,84,68,83,74,73,75,74,87,88,90,76,92,88,91,91,40,40,40,40,40,1,2,7,2,89,40,84,79,79,89,79,68,68,70,68,68,68,66,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,5
15,188,76,27,0.0,1.0,2.0,0.0,0,0,0,0,0,0,0,0,93,83,78,79,80,82,93,87,75,77,78,75,87,80,85,69,88,50,56,70,40,40,40,40,40,2,3,6,1,89,40,62,71,71,76,74,72,72,78,76,76,80,89,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5
16,175,71,28,0.0,1.0,1.0,2.0,0,0,0,1,2,0,0,0,89,90,87,90,80,78,85,61,75,84,92,88,78,66,69,90,84,50,51,62,40,40,40,40,40,2,2,7,2,89,40,50,72,72,77,77,80,85,84,81,89,84,84,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,5
17,187,85,28,,,,,0,0,0,0,0,0,0,0,42,65,51,60,65,67,42,60,65,52,65,63,85,85,83,68,65,49,52,55,95,94,95,97,94,2,3,5,2,89,89,51,53,53,52,49,47,47,45,45,45,46,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
18,185,81,33,0.0,1.0,2.0,2.0,0,0,0,0,0,0,0,0,88,91,85,88,83,73,86,85,68,77,80,77,84,78,83,71,80,50,54,76,40,40,40,40,40,2,2,7,2,88,40,60,70,70,75,75,73,73,79,76,80,80,88,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,5
19,183,76,30,0.0,0.0,0.0,0.0,0,2,2,2,0,0,0,0,75,94,78,82,92,91,80,65,83,85,72,76,87,64,80,78,82,74,72,74,40,40,40,40,40,3,3,8,1,88,40,61,74,74,86,88,73,73,85,74,74,76,74,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,5
20,173,76,29,2.0,2.0,2.0,2.0,2,0,0,2,0,0,0,0,86,91,95,88,84,80,83,60,77,80,87,91,80,58,67,93,80,50,46,60,40,40,40,40,40,3,4,6,1,88,40,46,72,72,77,79,87,82,88,88,86,88,85,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,5
21,189,76,32,0.0,0.0,0.0,0.0,0,2,2,0,0,0,1,0,72,87,83,91,90,88,62,77,66,73,67,69,73,70,83,66,86,85,88,83,40,40,40,40,40,2,2,7,3,88,40,74,75,75,88,84,70,70,74,68,68,69,65,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
22,187,80,31,2.0,1.0,2.0,2.0,1,0,0,0,1,0,0,0,92,82,80,82,72,73,88,80,75,79,96,94,81,82,74,75,84,50,51,55,40,40,40,40,40,2,3,6,3,88,40,58,73,73,72,71,82,82,77,83,83,83,88,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,5
23,193,82,30,,,,,0,0,0,0,0,0,0,0,42,60,43,48,65,70,42,70,60,48,66,63,74,83,80,63,60,43,43,55,94,93,93,95,97,2,3,5,3,88,88,49,49,49,48,46,44,44,41,42,42,43,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
24,174,70,29,0.0,1.0,0.0,0.0,1,2,2,2,1,1,0,0,77,92,90,93,92,87,75,61,79,89,72,81,78,73,63,89,81,56,66,67,40,40,40,40,40,2,3,6,1,88,40,53,74,72,85,88,79,79,86,76,76,81,73,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,5
25,176,73,29,2.0,2.0,2.0,2.0,1,0,0,2,0,0,0,0,91,91,86,86,85,82,86,83,82,86,80,84,80,81,68,80,86,53,55,55,40,40,40,40,40,2,2,6,3,88,40,57,72,72,79,78,80,77,87,88,83,85,87,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,5
26,191,81,27,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,58,80,69,70,77,82,57,86,60,63,86,81,75,93,89,75,83,88,90,84,40,40,40,40,40,1,2,6,2,88,40,88,79,79,74,70,68,68,64,64,64,65,58,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
27,199,96,28,,,,,0,0,0,0,0,0,0,0,40,60,43,50,60,62,44,70,60,49,62,61,76,83,88,70,60,65,57,52,91,92,95,95,95,2,2,6,1,88,88,58,51,51,48,43,41,41,40,40,40,41,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
28,170,69,26,2.0,1.0,2.0,2.0,2,0,0,1,2,0,0,0,90,88,90,85,82,80,81,60,64,73,92,95,79,76,65,94,83,50,54,55,40,40,40,40,40,2,2,6,2,88,40,51,74,74,76,78,86,86,84,88,86,86,85,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,5
29,188,86,27,,,,,0,0,0,0,0,0,0,0,41,72,60,67,76,80,40,60,60,53,66,67,92,80,83,70,60,61,62,59,93,95,93,96,94,2,2,5,2,88,88,55,58,58,60,58,53,53,52,50,50,52,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
30,177,75,27,2.0,2.0,2.0,2.0,0,0,0,2,0,0,0,0,85,89,88,90,84,81,85,65,86,89,82,86,86,70,64,91,80,49,52,58,40,40,40,40,40,1,2,7,2,88,40,49,70,70,77,77,77,77,86,83,83,88,84,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,5
31,168,68,29,0.0,0.0,0.0,0.0,0,2,2,1,0,0,0,0,73,82,80,84,86,82,69,64,60,64,80,85,73,80,78,93,96,94,93,92,40,40,40,40,40,2,2,5,2,88,40,75,83,83,84,88,74,74,77,73,73,74,68,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,5
32,176,70,25,1.0,0.0,0.0,1.0,0,2,2,2,1,0,1,2,74,85,80,84,86,84,71,71,68,81,80,85,78,82,70,85,90,75,80,71,40,40,40,40,40,2,3,7,3,88,40,70,78,82,88,83,75,78,80,76,76,75,69,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,5
33,194,85,33,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,66,80,73,82,83,85,66,85,63,65,76,68,81,79,87,72,83,93,90,84,40,40,40,40,40,2,2,6,3,87,40,87,76,76,76,72,66,66,68,65,65,66,63,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
34,193,89,36,,,,,0,0,0,0,0,0,0,0,43,60,55,56,60,64,43,70,60,41,63,57,85,89,82,55,65,47,45,47,94,92,92,93,93,2,2,6,3,87,87,51,49,49,48,46,43,43,41,42,42,43,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
35,180,75,32,2.0,1.0,1.0,2.0,2,0,2,2,2,0,0,0,80,87,88,90,87,88,77,61,85,89,84,88,85,65,64,85,81,52,55,66,40,40,40,40,40,1,2,7,2,87,40,49,71,71,78,84,84,84,85,82,87,82,77,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,5
36,195,90,30,,,,,0,0,0,0,0,0,0,0,50,61,58,54,67,68,50,72,61,61,64,60,79,88,84,58,65,50,53,60,93,90,89,94,94,2,2,6,2,87,87,55,53,53,54,50,47,47,47,46,46,47,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
37,185,85,30,1.0,1.0,2.0,0.0,0,0,0,0,0,0,0,0,90,79,80,73,74,68,91,87,77,68,84,81,89,80,85,75,84,50,52,65,40,40,40,40,40,2,3,7,3,87,40,61,69,69,70,68,71,71,74,77,75,78,87,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,5
38,180,76,28,1.0,0.0,0.0,0.0,2,2,2,1,0,2,2,1,75,85,83,81,88,87,73,77,86,87,87,84,82,85,78,81,89,87,83,82,40,40,40,40,40,1,3,7,2,87,40,87,87,85,87,85,83,78,80,78,76,76,72,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,5
39,183,79,28,2.0,2.0,2.0,2.0,2,0,0,1,1,0,0,0,87,86,86,85,78,80,86,66,70,83,91,88,85,71,66,85,89,48,44,75,40,40,40,40,40,3,4,6,2,87,40,52,73,73,76,77,87,83,83,85,85,86,85,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,5
40,183,75,26,0.0,0.0,0.0,0.0,0,2,1,0,0,0,2,2,63,79,77,78,82,83,60,88,63,73,84,81,75,91,88,83,81,89,90,87,40,40,40,40,40,2,2,6,3,87,40,87,80,84,87,76,70,70,68,67,67,68,62,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
41,165,60,28,0.0,0.0,0.0,0.0,0,2,2,1,1,0,0,0,63,89,88,94,92,90,61,50,70,83,73,83,77,62,70,87,84,77,83,82,40,40,40,40,40,2,3,6,1,87,40,59,76,76,86,87,76,79,80,72,72,74,63,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,5
42,179,69,26,1.0,1.0,0.0,0.0,1,0,2,2,0,0,0,0,81,86,85,82,87,90,80,62,86,85,79,81,89,62,69,79,88,61,61,71,40,40,40,40,40,3,3,7,3,87,40,54,73,73,79,84,79,76,87,79,77,81,74,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,5
43,175,75,25,2.0,1.0,1.0,2.0,1,0,0,1,2,0,0,0,81,87,89,86,82,75,80,67,73,82,87,93,82,74,76,87,82,50,55,64,40,40,40,40,40,2,3,7,2,87,40,55,73,73,76,76,82,84,82,87,83,83,80,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,5
44,184,77,26,0.0,0.0,0.0,0.0,2,2,2,1,2,1,0,0,80,87,85,84,88,79,77,82,71,72,79,82,75,79,78,75,85,77,81,82,40,40,40,40,40,1,2,6,3,87,40,71,79,77,83,87,79,79,80,74,74,75,74,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,5
45,187,89,29,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,1,62,74,73,64,75,69,63,88,60,54,86,78,68,87,93,71,79,88,91,88,40,40,40,40,40,2,2,5,3,87,40,87,76,78,68,65,65,65,62,62,62,63,60,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
46,173,64,26,1.0,1.0,1.0,2.0,1,0,2,2,2,0,0,0,83,94,95,90,82,84,80,62,70,82,76,84,75,66,64,91,87,61,65,67,40,40,40,40,40,1,2,6,2,87,40,53,74,74,80,86,81,83,87,81,87,83,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,5
47,181,76,29,1.0,2.0,2.0,2.0,0,0,0,1,0,0,0,0,87,89,85,89,84,79,80,75,74,80,81,79,80,82,76,86,87,50,52,71,40,40,40,40,40,2,3,6,2,87,40,58,73,73,78,77,76,76,82,79,81,83,87,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,5
48,180,68,23,0.0,0.0,0.0,0.0,0,2,2,1,0,0,1,0,77,86,85,88,89,87,67,74,70,71,81,83,74,78,72,80,84,71,75,78,40,40,40,40,40,3,3,5,2,87,40,68,77,77,83,87,76,76,80,74,74,75,70,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5
49,175,69,22,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,2,76,85,76,80,86,94,62,68,81,90,86,82,85,80,68,75,87,73,75,73,40,40,40,40,40,2,2,7,3,87,40,64,77,87,81,78,76,79,74,73,73,73,66,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,5
50,188,78,34,,,,,0,0,0,0,0,0,0,0,40,61,44,46,62,60,41,60,60,45,63,67,80,84,82,66,60,47,49,52,92,90,95,96,90,1,1,5,1,86,86,48,48,48,46,43,41,41,40,40,40,42,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
51,187,85,36,0.0,0.0,0.0,0.0,1,0,0,0,0,2,2,1,61,72,70,67,74,75,62,85,60,66,76,73,79,87,90,64,80,91,93,87,40,40,40,40,40,2,2,6,1,86,40,86,78,76,70,64,65,62,60,60,60,61,58,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
52,172,66,35,0.0,0.0,0.0,0.0,0,1,2,2,0,0,0,0,78,92,87,87,91,89,71,60,76,81,72,83,79,61,60,85,81,64,67,70,40,40,40,40,40,2,3,6,2,86,40,52,72,72,81,86,76,76,85,75,75,77,71,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,5
53,178,72,30,0.0,0.0,0.0,0.0,2,2,2,2,1,0,0,0,70,86,84,80,88,87,69,63,90,87,71,73,80,68,66,84,83,75,77,72,40,40,40,40,40,3,3,6,2,86,40,60,72,72,86,82,76,74,79,70,70,71,66,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5
